,DateTime_start,Ta,Rh,R,CO2,Tl
0,2021-03-09T00:08:30.0,22.536363636363635,80.36363636363636,0.0,416.27272727272725,25.83683168878199
1,2021-03-09T00:18:30.0,22.6,79.56363636363636,0.0,416.90909090909093,26.256781018468274
2,2021-03-09T00:28:30.0,22.618181818181817,80.58181818181819,0.0,415.8181818181818,25.95593983833328
3,2021-03-09T00:38:30.0,22.699999999999992,79.01818181818182,0.0,416.09090909090907,25.710633941394715
4,2021-03-09T00:48:30.0,22.66363636363636,79.95454545454544,0.0,415.90909090909093,25.64483358662217
5,2021-03-09T00:58:30.0,22.6,79.15454545454544,0.0,416.6363636363636,26.04670157275723
6,2021-03-09T01:08:30.0,22.58181818181818,79.89090909090909,0.0,417.0,25.831418680585767
7,2021-03-09T01:18:30.0,22.56363636363636,80.70909090909092,0.0,416.45454545454544,26.06967603732383
8,2021-03-09T01:28:30.0,22.63636363636363,81.08181818181819,0.0,417.45454545454544,25.879757964736896
9,2021-03-09T01:38:30.0,22.709090909090904,79.30909090909091,0.0,417.90909090909093,25.798330519524754
10,2021-03-09T01:48:30.0,22.5,80.02727272727272,0.0,417.0,25.681768101590198
11,2021-03-09T01:58:30.0,22.518181818181816,80.22727272727273,0.0,416.90909090909093,25.693396481199365
12,2021-03-09T02:08:30.0,22.536363636363635,80.24545454545455,0.0,416.6363636363636,25.746069157651636
13,2021-03-09T02:18:30.0,22.609090909090902,79.49999999999999,0.0,416.3636363636364,25.74879687357627
14,2021-03-09T02:28:30.0,22.654545454545453,79.3,0.0,416.27272727272725,25.945534811005857
15,2021-03-09T02:37:30.0,22.67272727272727,79.35454545454546,0.0,416.8181818181818,26.117455331375393
16,2021-03-09T02:47:30.0,22.58181818181818,80.11818181818181,0.0,416.90909090909093,25.809918886454625
17,2021-03-09T02:57:30.0,22.6,80.28181818181817,0.0,416.8181818181818,25.833283983263765
18,2021-03-09T03:07:30.0,22.58181818181818,80.45454545454545,0.0,416.54545454545456,26.31458197396519
19,2021-03-09T03:17:30.0,22.6,79.60000000000001,0.0,416.6363636363636,25.769978404471182
20,2021-03-09T03:27:30.0,22.6,79.79999999999998,0.0,417.72727272727275,25.739185690582055
21,2021-03-09T03:37:30.0,22.6,79.79999999999998,0.0,417.8181818181818,26.228985061822904
22,2021-03-09T03:47:30.0,22.6,79.77272727272727,0.0,417.09090909090907,25.917036629597746
23,2021-03-09T03:57:30.0,22.6,80.25454545454546,0.0,417.72727272727275,25.549995269219067
24,2021-03-09T04:07:30.0,22.6,79.79999999999998,0.0,418.6363636363636,25.759135156029412
25,2021-03-09T04:17:30.0,22.6,80.08181818181818,0.0,418.8181818181818,25.75583536914047
26,2021-03-09T04:27:30.0,22.6,80.03636363636365,0.0,417.8181818181818,25.947802613171447
27,2021-03-09T04:37:30.0,22.6,79.61818181818181,0.0,417.27272727272725,26.07114419380114
28,2021-03-09T04:47:30.0,22.6,79.9090909090909,0.0,417.45454545454544,25.62283983181939
29,2021-03-09T04:57:30.0,22.6,80.2,0.0,417.09090909090907,25.79040089021626
30,2021-03-09T05:07:30.0,22.6,80.35454545454544,0.0,417.09090909090907,25.756661400040265
31,2021-03-09T05:17:30.0,22.98181818181818,81.93636363636364,0.0,417.72727272727275,25.921045214062723
32,2021-03-09T05:27:30.0,23.4,79.8,0.0,416.8181818181818,26.013559173553258
33,2021-03-09T05:37:30.0,23.563636363636363,79.90909090909089,0.0,417.72727272727275,25.835742874970098
34,2021-03-09T05:47:30.0,23.772727272727277,79.89090909090909,0.0,418.27272727272725,25.91531610749715
35,2021-03-09T05:57:30.0,24.027272727272727,80.60000000000001,0.0,418.0,26.018609241581103
36,2021-03-09T06:07:30.0,24.372727272727275,80.34545454545456,4.0,416.6363636363636,26.070488926126234
37,2021-03-09T06:17:30.0,24.63636363636363,79.96363636363635,7.454545454545454,416.27272727272725,25.915221145712483
38,2021-03-09T06:27:30.0,24.85454545454546,80.0,15.909090909090908,414.3636363636364,25.77473035822438
39,2021-03-09T06:37:30.0,25.15454545454545,80.60000000000001,25.09090909090909,411.6363636363636,25.879565247832325
40,2021-03-09T06:47:30.0,25.463636363636365,80.07272727272728,34.81818181818182,409.0,25.93461022038795
41,2021-03-09T06:57:30.0,25.65454545454545,79.96363636363637,43.09090909090909,405.54545454545456,25.85334350024615
42,2021-03-09T07:07:30.0,25.936363636363637,79.60909090909091,53.18181818181818,402.45454545454544,25.93234979219809
43,2021-03-09T07:17:30.0,26.309090909090912,79.44545454545455,62.54545454545455,398.3636363636364,25.95099341989261
44,2021-03-09T07:27:30.0,26.59090909090909,78.15454545454547,73.36363636363636,395.54545454545456,26.3981100283749
45,2021-03-09T07:37:30.0,26.990909090909096,76.87272727272729,82.81818181818181,392.54545454545456,26.59310782015015
46,2021-03-09T07:47:30.0,27.263636363636365,76.5,91.8181818181818,389.90909090909093,26.884394477577402
47,2021-03-09T07:57:30.0,27.527272727272727,76.26363636363637,101.1818181818182,386.72727272727275,27.200233723377245
48,2021-03-09T08:07:30.0,27.845454545454547,75.62727272727273,110.45454545454544,384.45454545454544,27.407282517886514
49,2021-03-09T08:17:30.0,28.172727272727272,75.01818181818183,118.8181818181818,382.27272727272725,27.23273196314298
50,2021-03-09T08:27:30.0,28.436363636363637,74.24545454545455,127.63636363636364,381.3636363636364,27.94922973791553
51,2021-03-09T08:37:30.0,28.74545454545455,73.56363636363636,135.45454545454547,380.45454545454544,27.996990434997787
52,2021-03-09T08:47:30.0,29.109090909090902,72.54545454545452,143.1818181818182,378.72727272727275,28.53919437225392
53,2021-03-09T08:57:30.0,29.41818181818182,71.85454545454544,152.36363636363637,379.0,28.866115846222385
